lng,lat,common,datevisit,volunteer,watered,staked,braced,weeded,mulched,pruned,comment
-122.288981,37.819148,valley oak,2020-02-10 11:00:00,DKS,,,,,,,
-122.288978,37.819227,valley oak,2020-02-10 11:00:00,DKS,,,,,,,
-122.289256,37.815191,Turkish hazel,2020-02-10 11:00:00,DKS,,,,,,,
-122.289184,37.815175,Turkish hazel,2020-02-10 11:00:00,DKS,,,,,,,
-122.182361,37.772334,tupelo,2020-02-10 11:00:00,DKS,,,,,,,
-122.182483,37.772257,tupelo,2020-02-10 11:00:00,DKS,,,,,,,
-122.182673,37.772131,tupelo,2020-02-10 11:00:00,DKS,,,,,,,
-122.182554,37.772181,tupelo,2020-02-10 11:00:00,DKS,,,,,,,
-122.182698,37.772048,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.196419,37.779321,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182620,37.772098,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182553,37.772139,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182491,37.772181,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182412,37.772232,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182352,37.772269,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182283,37.772314,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182217,37.772358,silver linden,2020-02-10 11:00:00,DKS,,,,,,,
-122.182527,37.772631,scarlet oak,2020-02-10 11:00:00,DKS,,,,,,,
-122.288979,37.818440,Saratoga laurel,2020-02-10 11:00:00,DKS,,,,,,,
-122.288972,37.818536,Saratoga laurel,2020-02-10 11:00:00,DKS,,,,,,,
-122.288967,37.818636,Saratoga laurel,2020-02-10 11:00:00,DKS,,,,,,,
-122.196357,37.779292,Saratoga laurel,2020-02-10 11:00:00,DKS,,,,,,,
-122.288947,37.818339,river birch,2020-02-10 11:00:00,DKS,,,,,,,
-122.182281,37.772465,red maple,2020-02-10 11:00:00,DKS,,,,,,,
-122.182373,37.772545,red maple,2020-02-10 11:00:00,DKS,,,,,,,
-122.289733,37.815019,red horsechestnut,2020-02-10 11:00:00,DKS,,,,,,,
-122.182406,37.772297,purple-flowering locust,2020-02-10 11:00:00,DKS,,,,,,,
-122.182607,37.772152,purple-flowering locust,2020-02-10 11:00:00,DKS,,,,,,,
-122.182693,37.772097,purple-flowering locust,2020-02-10 11:00:00,DKS,,,,,,,
-122.182485,37.772235,purple-flowering locust,2020-02-10 11:00:00,DKS,,,,,,,
-122.182529,37.772220,purple-flowering locust,2020-02-10 11:00:00,DKS,,,,,,,
-122.300361,37.803254,primrose tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.300372,37.803284,primrose tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.300421,37.803332,primrose tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.300410,37.803407,primrose tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.288226,37.809893,London plane tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.288091,37.809863,London plane tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.298494,37.803110,London plane tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.299026,37.803243,London plane tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.299134,37.803264,London plane tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.182306,37.772380,incense cedar,2020-02-10 11:00:00,DKS,,,,,,,
-122.182589,37.772186,incense cedar,2020-02-10 11:00:00,DKS,,,,,,,
-122.182752,37.772079,incense cedar,2020-02-10 11:00:00,DKS,,,,,,,
-122.196467,37.779343,hybrid madrone,2020-02-10 11:00:00,DKS,,,,,,,
-122.281621,37.822429,hybrid madrone,2020-02-10 11:00:00,DKS,,,,,,,
-122.196532,37.779369,Green Gable tupelo,2020-02-10 11:00:00,DKS,,,,,,,
-122.289620,37.815077,goldenrain tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.289361,37.815025,goldenrain tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.289246,37.815002,goldenrain tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.289287,37.815182,chitalpa,2020-02-10 11:00:00,DKS,,,,,,,
-122.289228,37.815164,chitalpa,2020-02-10 11:00:00,DKS,,,,,,,
-122.289162,37.815150,chitalpa,2020-02-10 11:00:00,DKS,,,,,,,
-122.300020,37.803090,Catalina ironwood,2020-02-10 11:00:00,DKS,,,,,,,
-122.300055,37.803076,Catalina ironwood,2020-02-10 11:00:00,DKS,,,,,,,
-122.300054,37.803099,Catalina ironwood,2020-02-10 11:00:00,DKS,,,,,,,
-122.300088,37.803092,Catalina ironwood,2020-02-10 11:00:00,DKS,,,,,,,
-122.300091,37.803119,Catalina ironwood,2020-02-10 11:00:00,DKS,,,,,,,
-122.300538,37.803319,Canary Island pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300504,37.803322,Canary Island pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300468,37.803359,Canary Island pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300488,37.803388,Canary Island pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300456,37.803386,Canary Island pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300326,37.803250,cajeput tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.300431,37.803359,cajeput tree,2020-02-10 11:00:00,DKS,,,,,,,
-122.288994,37.818671,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.288992,37.818749,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.288986,37.818798,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.288974,37.818970,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.288972,37.819025,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.288963,37.819091,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.196525,37.779427,Australian willow,2020-02-10 11:00:00,DKS,,,,,,,
-122.282370,37.822270,African sumac,2020-02-10 11:00:00,DKS,,,,,,,
-122.281876,37.822156,African sumac,2020-02-10 11:00:00,DKS,,,,,,,
-122.281790,37.822138,African sumac,2020-02-10 11:00:00,DKS,,,,,,,
-122.300369,37.803240,Afghan pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300402,37.803281,Afghan pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300459,37.803308,Afghan pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300446,37.803401,Afghan pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300429,37.803420,Afghan pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.300460,37.803424,Afghan pine,2020-02-10 11:00:00,DKS,,,,,,,
-122.288550,37.818342,cork oak,2020-03-21 11:00:00,DKS,yes,yes,yes,yes,no,yes,small/young but has buds all over branches & trunk
-122.288892,37.818276,cork oak,2020-03-21 11:00:00,DKS,yes,no,no,yes,no,yes,"very large & vigorous, crown-raised 3/21"
-122.288632,37.818304,cork oak,2020-03-21 11:00:00,DKS,yes,yes,yes,yes,no,yes,
-122.288720,37.818282,cork oak,2020-03-21 11:00:00,DKS,yes,yes,yes,yes,no,yes,young & sparse but seems healthy
-122.287740,37.819333,Brisbane box,2020-03-21 11:00:00,DKS,yes,yes,yes,yes,yes,yes,was leaning but our corrections seem to have worked
