lng,lat,common,datevisit,volunteer,watered,staked,braced,weeded,mulched,pruned,comment
-122.287803,37.819260,Brisbane box,2020-03-21 11:00:00,DKS,yes,no,no,yes,yes,yes,
-122.287884,37.819153,Brisbane box,2020-03-21 11:00:00,DKS,yes,yes,no,yes,yes,yes,still unbalanced - continue to monitor & prune
-122.288310,37.818618,Brisbane box,2020-03-21 11:00:00,DKS,yes,yes,no,yes,yes,yes,was leaning but our corrections seem to have worked
-122.288419,37.818470,Brisbane box,2020-03-21 11:00:00,DKS,yes,yes,no,yes,yes,yes,was leaning but our corrections seem to have worked
-122.288239,37.818710,Brisbane box,2020-03-21 11:00:00,DKS,yes,yes,yes,yes,yes,yes,"replacement tree, continue to monitor & prune"
-122.288369,37.818537,Brisbane box,2020-03-21 11:00:00,DKS,yes,yes,yes,yes,yes,yes,"replacement tree, continue to monitor & prune"
-122.288023,37.818979,Autumn Blaze maple,2020-03-21 11:00:00,DKS,yes,no,no,yes,yes,yes,some pruning 3/21 but needs ladder
-122.288085,37.818902,Autumn Blaze maple,2020-03-21 11:00:00,DKS,yes,no,no,yes,yes,yes,
-122.288145,37.818827,Autumn Blaze maple,2020-03-21 11:00:00,DKS,yes,no,no,yes,yes,yes,some pruning 3/21 but needs ladder
-122.191690,37.778321,Emerald Sunshine elm,2020-03-21 11:00:00,DKS,,,,,,yes,remove 1 of the codominant stems
